ID,Nombre de vivienda,Tipo de vivienda,Estado,Habitaciones,Baños,Muebles,Precio,Superficie total,Superficie util,Precio por metro cuadrado,Certificado energetico,Año de construccion,Ubicacion: calle y numero,"Ubicacion: Piso y numero, letra o portal",Codigo Postal,Localidad,Provincia,Distrito,Barrio,Gastos de la comunidad,Calefaccion,garage,trastero,Balcon y terraza,Piscina,Jardin,Planta,Ascensor,Orientacion,Nota del agente
1111,Vista Serena,comprar,reformado,1,1,si,110000,64,62,"1718,75",d,2006,privada camin,"10, 2A",37900,BILBAO,vizcaya,abando,Indautxu,no,caldera de gas natural,no,no,no,si,si,1,no,norte,"Ubicada en el corazón de la ciudad, Vista Serena es una propiedad reformada de 64 m² que destaca por su luminosidad y tranquilidad. Con 1 habitación y 1 baño, cuenta con un hermoso jardín y una piscina comunitaria para disfrutar al máximo del aire libre. Ideal para quienes buscan una vivienda bien equipada, con calefacción de gas natural y orientación norte. Su precio de 110,000€ hace de esta propiedad una excelente opción para quienes valoran el confort y la naturaleza."
1112,latinus house,alquilar,en buen estado,2,1,si,2300,75,75,"30,6",f,1993,eclesia 100,"11, A",36500,BILBAO,vizcaya,Deusto,San ignacio,95,Caldera de biomasa,no,no,no,no,no,11,si,este,"Este piso de 75 m² en alquiler es perfecto para quienes buscan un estilo de vida práctico y cómodo. Con 2 habitaciones, 1 baño, completamente amueblado y una ubicación en el piso 11, ofrece vistas espectaculares y mucha luz natural. Aunque no tiene terraza ni piscina, cuenta con ascensor y calefacción de biomasa. Ideal para quienes buscan una vivienda bien conectada y a un precio accesible de 2,300€ al mes."
1113,vista alegre,comprar,reformado,3,2,si,750000,120,116,6250,e,1980,Cerdigo 20,3ero B,38000,BILBAO,vizcaya,Deusto,San ignacio,100,caldera de gas natural,si,si,si,no,no,5,si,suroeste,"Esta propiedad de 120 m² reformada es un verdadero lujo para quienes buscan amplitud y elegancia. Con 3 habitaciones, 2 baños, una terraza amplia y orientación suroeste, es perfecta para disfrutar de atardeceres espectaculares. Además, está completamente amueblada, con calefacción de gas natural, garage y trastero incluidos. Su precio de 750,000€ refleja la calidad de este hogar exclusivo."
1114,los nogales,comprar,en buen estado,2,2,si,455000,90,82,5055,e,2001,Nimbus 10,5 C,37500,BILBAO,vizcaya,abando,Indautxu,150,Caldera de biomasa,no,no,no,no,no,6,no,sur,"Con 90 m² y en buen estado, Los Nogales ofrece un espacio acogedor y bien distribuido para familias. Con 2 habitaciones y 2 baños, su orientación sur garantiza mucha luz natural durante todo el día. Aunque no tiene jardín ni piscina, es un hogar cálido y confortable, ideal para quienes valoran el interiorismo moderno. Su precio es de 455,000€."
1115,Bobba 501,comprar,en buen estado,2,1,si,475000,68,68,6985,d,1970,bobbafet 501,"2, 2",38450,BILBAO,vizcaya,abando,Indautxu,45,Bomba de calor (Aerotermia),si,no,si,si,no,2,si,norte,"Este apartamento de 68 m² es ideal para quienes buscan un espacio acogedor y funcional. Con 2 habitaciones, 1 baño, una terraza y una piscina comunitaria, ofrece la combinación perfecta de espacio interior y exterior. Además, cuenta con calefacción por aerotermia, lo que asegura eficiencia energética. Con garage incluido, es una excelente opción por 475,000€."
1116,Xunta,alquilar,en buen estado,3,2,no,3500,80,80,"43,75",g,1910,Galicia 25,"7, IZQ",36500,BILBAO,vizcaya,Deusto,San ignacio,no,caldera de gas natural,no,no,si,no,no,7,si,oeste,"Con 80 m² y en excelente estado, Xunta es un apartamento de alquiler perfecto para familias que buscan un espacio amplio y cómodo. Con 3 habitaciones, 2 baños y una terraza con orientación oeste, este hogar es ideal para disfrutar del sol de la tarde. Además, cuenta con calefacción de gas natural y ascensor. Por 3,500€ al mes, es una opción ideal para quienes buscan una vida moderna y bien conectada."
1117,Residencial chamaco y chamaco,alquilar,en buen estado,1,1,si,1200,68,68,"17,64",f,1998,priv. 4,"8, d",38450,BILBAO,vizcaya,abando,Indautxu,72,Bomba de calor (Aerotermia),no,si,no,no,no,8,no,este,"Este acogedor apartamento de 68 m² en alquiler es ideal para quienes buscan un hogar funcional y bien equipado. Con 1 habitación y 1 baño, completamente amueblado y con calefacción por aerotermia, ofrece una vida práctica y eficiente. Situado en una planta alta con orientación este, es una excelente opción por 1,200€ al mes."
1118,Leo ,comprar,en buen estado,4,3,si,112000,90,90,1244,e,2008,gatsby 101,"3, b",37500,BILBAO,vizcaya,Deusto,San ignacio,80,Bomba de calor (Aerotermia),no,no,si,no,no,3,si,sur,"Esta propiedad de 90 m² y 4 habitaciones es perfecta para una familia numerosa. Con 3 baños, una terraza con vistas y una orientación sur que garantiza luz natural todo el día, Leo es un hogar lleno de confort. Su calefacción por aerotermia y su distribución eficiente lo convierten en una excelente opción para quienes buscan una propiedad bien equipada por 112,000€."
1119,de la via,alquilar,reformado,2,1,si,950,70,70,"13,5",e,1942,Traum via de ill 7,,38450,BILBAO,vizcaya,abando,Indautxu,,caldera de gas natural,si,no,no,no,no,1,si,sureste,"Con 70 m² y en estado reformado, De la Via es un apartamento ideal para quienes buscan un hogar moderno y cómodo. Con 2 habitaciones y 1 baño, completamente amueblado, calefacción de gas natural y garage, ofrece todo lo necesario para una vida cómoda. Con un precio de 950€ al mes, es una oportunidad excelente para quienes valoran el estilo y la practicidad."
1120,el principado,comprar,en buen estado,2,1,no,545000,75,75,7266,f,1976,De asturias 29,"4, derecho",36500,BILBAO,vizcaya,abando,Indautxu,no,Caldera de biomasa,no,no,si,no,no,4,si,oeste,"Este apartamento de 75 m² en venta combina estilo y funcionalidad. Con 2 habitaciones, 1 baño, una terraza con orientación oeste y calefacción por biomasa, es perfecto para quienes buscan un hogar acogedor y moderno. A un precio de 545,000€, esta propiedad es ideal para quienes valoran el confort en una ubicación privilegiada."
1121,Casa Pintxo,comprar,reformado,2,2,si,380000,75,68,5066,b,1965,Ruta del pintxo 9,"5, a",38450,BILBAO,vizcaya,Deusto,San ignacio,35,caldera de gas natural,si,no,si,no,no,5,si,noroeste,"Casa Pintxo es un hogar reformado de 75 m² que combina elegancia y comodidad. Con 2 habitaciones, 2 baños y una terraza orientada al noroeste, es ideal para disfrutar de las vistas y del aire libre. Además, cuenta con garage y calefacción de gas natural, por lo que es una opción excelente para quienes buscan calidad de vida por 380,000€."
1122,intxua 2,obra nueva,a estrenar,2,2,no,375000,78,76,4807,f,1971,intxua 2,2,37500,BILBAO,vizcaya,abando,Indautxu,75,caldera de gas natural,no,si,no,si,no,2,si,suroeste,"Este moderno apartamento de 78 m², a estrenar, cuenta con una piscina comunitaria, perfecta para disfrutar del verano. Con 2 habitaciones, 2 baños y calefacción de gas natural, es un hogar moderno y cómodo. Aunque no tiene terraza, su orientación suroeste lo hace muy luminoso. Por 375,000€, es una excelente oportunidad para quienes buscan una propiedad nueva y bien equipada."
1123,ots,comprar,a reformar,1,1,no,150000,55,50,2727,c,1492,Benito camelo 1,"1, a",36500,BILBAO,vizcaya,Deusto,San ignacio,no,Sin Información/Sin calefacción,no,no,no,no,no,1,no,norte,"Ots es una opción ideal para quienes buscan un proyecto de reforma. Con 55 m², 1 habitación y 1 baño, ofrece la posibilidad de crear un hogar a medida. Aunque no cuenta con terraza ni jardín, su precio de 150,000€ lo convierte en una opción atractiva para quienes desean invertir en un hogar con mucho potencial."
1124,tourperion,alquilar,reformado,2,2,si,3000,98,96,"30,61",g,1950,hyperion 10,,37500,BILBAO,vizcaya,abando,Indautxu,55,Caldera de biomasa,si,no,si,si,si,1,no,este,"Este apartamento de 98 m² en alquiler es una joya. Con una amplia terraza, jardín privado y piscina, es el lugar perfecto para quienes buscan relajarse y disfrutar del aire libre. Con 2 habitaciones, 2 baños, calefacción de biomasa y garage, ofrece todo lo necesario para una vida cómoda. Por 3,000€ al mes, es una opción de lujo en una ubicación privilegiada."
